id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13084972,Bright apt close to the city & beach!,72612430,Whitney,,Bayside,-37.94482,145.02055,Private room,50,7,0,,,1,0,0,
13101666,A charming little end Unit,46036049,Amanda,,Hobsons Bay,-37.83351,144.87209,Entire home/apt,99,3,4,2017-10-01,0.06,1,0,0,
13102141,southbank tower,38328312,Sona,,Melbourne,-37.82296,144.96065,Private room,35,3,0,,,1,0,0,
12479314,Granny Flat! Near airport- CraigieburnVery clean.,23005557,Mandy,,Hume,-37.58718,144.916,Entire home/apt,50,2,63,2022-05-26,0.85,2,111,6,
12479630,Two-bed apartment at the back of a family home.,28930212,Nikki,,Darebin,-37.73496,145.01119,Entire home/apt,130,2,33,2018-09-27,0.47,1,0,0,
12723934,Private bedroom in North Fitzroy,7612760,Paul,,Yarra,-37.78239,144.97896,Private room,28,1,0,,,1,0,0,
12481552,Spacious room in bright modern Victorian home,5617165,Leyla,,Yarra,-37.81994,145.0044,Private room,85,1,0,,,1,0,0,
13102169,Queensize bed in Brunswick East next to tram stop,72806452,Vishnu,,Moreland,-37.76649,144.9733,Private room,30,1,3,2016-07-19,0.04,1,0,0,
12736588,Friendly sharehouse in vibrant area,47493458,Julian,,Darebin,-37.75935,145.00777,Private room,2500,3,0,,,1,0,0,
12740971,Large 2BR APT in St Kilda 25/6-12/8 2022,10918078,Kaisu,,Port Phillip,-37.86655,144.97905,Entire home/apt,180,5,7,2022-01-03,0.11,1,9,2,
12494162,Toad Hall at Frog Hollow B & B,67518312,Colleen,,Boroondara,-37.83621,145.07359,Private room,100,7,2,2018-09-28,0.03,1,365,0,
12741212,Brighton Beach - Where Art Deco meets Contemporary,26505051,Joan,,Bayside,-37.91253,144.98591,Entire home/apt,305,7,39,2020-01-09,0.57,1,344,0,
12497937,Large 2 bedroom apartment,65986682,Clare,,Stonnington,-37.84838,144.99128,Entire home/apt,250,1,1,2016-12-31,0.02,1,0,0,
13103304,Perfect locale for the traveller,27087726,Julie,,Moreland,-37.74818,144.96714,Private room,48,2,59,2022-05-20,0.87,1,318,18,
12741451,Coffee & Collingwood,3580870,Nicolette,,Yarra,-37.80174,144.9849,Entire home/apt,136,4,12,2017-11-10,0.18,1,0,0,
13106627,Studio Apartment above Sheraton,55106784,Lyn,,Melbourne,-37.81392,144.97351,Entire home/apt,95,3,13,2017-07-18,0.18,1,0,0,
12498038,Spacious with a touch of luxury.,67678991,Thu,,Maroondah,-37.78123,145.25549,Private room,60,1,50,2020-03-07,0.70,1,0,0,
12748311,Spacious 2 Bed Apartment with early check-in,10219366,Jon,,Yarra,-37.80078,144.98499,Entire home/apt,185,3,71,2018-06-20,0.97,1,0,0,
12503970,Beautiful sunny family home,36692181,Katie,,Darebin,-37.73825,144.99842,Entire home/apt,92,1,4,2019-04-21,0.06,1,0,0,
13108561,Room + home office in Brunswick,7886382,Jana,,Moreland,-37.77369,144.96888,Private room,46,3,0,,,1,0,0,
12765759,Aquila Nova Retreat-Luna Spa Suite,66261359,Alex,,Yarra Ranges,-37.88443,145.39057,Entire home/apt,476,1,35,2022-05-22,0.51,4,343,18,
13115687,Bright Elwood/St Kilda beauty 10 mins from beach,389990,Claire,,Port Phillip,-37.87952,144.99269,Entire home/apt,109,5,3,2018-02-19,0.04,1,0,0,
13116192,Port Melbourne Beach Apartment,72954488,Jo Anne,,Port Phillip,-37.84282,144.93833,Entire home/apt,193,1,191,2022-05-16,2.62,2,305,28,
12505222,A piece of France in St Kilda,67718579,Stephane,,Port Phillip,-37.86688,144.98287,Entire home/apt,200,2,0,,,1,0,0,
12505429,"2k from CBD, massive rooftop deck!",30804726,Hayley,,Melbourne,-37.79856,144.94295,Entire home/apt,314,3,1,2016-05-06,0.01,1,0,0,
12767149,"delightful, quiet room",69464327,Melbourne,,Boroondara,-37.82262,145.05945,Private room,85,1,0,,,1,83,0,
12522064,Vintage-Style Spacious Studio,67827106,David,,Melbourne,-37.81605,144.99008,Private room,100,3,0,,,1,0,0,
12771364,"Brunswick  3 br 2 bath house, great location",69488382,Sue,,Moreland,-37.77325,144.97367,Entire home/apt,280,2,148,2022-05-29,2.08,1,217,29,
12522973,Pigeon Bank Country Cottage,13466625,Jacqui,,Nillumbik,-37.69667,145.22235,Entire home/apt,174,2,217,2022-05-22,2.96,1,342,22,
13127468,St Kilda City & sea views from iconic building,1900555,Debbie,,Port Phillip,-37.85947,144.97803,Entire home/apt,154,2,76,2022-05-24,1.08,1,355,16,
13129022,Panoramic City View Fitzroy Flat w/ Own Bathroom!,14150578,Jess & Callum,,Yarra,-37.79275,144.9775,Private room,80,1,35,2020-03-13,0.48,1,0,0,
13130991,Spacious and ultra modern one bedroom apartment!,63284187,Anna & Dima,,Bayside,-37.9038,145.00445,Entire home/apt,150,3,3,2016-10-03,0.04,1,0,0,
12784633,Homely Heritage Victorian Cottage,18125153,Trem,,Darebin,-37.77378,145.00397,Entire home/apt,79,3,4,2018-07-14,0.06,1,0,0,
13133187,"Quite, private room in contemporary house",73152703,Mark,,Yarra,-37.77863,144.98085,Private room,60,1,88,2020-03-18,1.24,1,0,0,
12786220,Comfy Private Room In A New House,16319616,Airin,,Wyndham,-37.84255,144.74211,Private room,42,1,30,2017-05-26,0.41,4,340,0,
12523688,Garden Studio - Burwood 3125 Victoria,67840556,Elizabeth,,Whitehorse,-37.85164,145.09821,Entire home/apt,57,1,105,2022-04-25,1.46,1,270,21,
12786423,Eagles on the Tenth-Play & Stay,39577532,Maria,,Melton,-37.79032,144.56089,Entire home/apt,170,1,46,2022-05-26,0.63,1,170,2,
12524423,"WALKING,STATION 12MIN,30MIN TO CITY",67845964,Stan,,Brimbank,-37.74115,144.80846,Private room,30,1,0,,,1,0,0,
13133527,舒適寬敞的空間只需帶著隨身行李即可入住，停車方便，大眾運輸工具近在咫尺,59920771,Fion,,Casey,-38.04036,145.35269,Private room,50,1,11,2021-07-11,0.16,1,190,1,
12786464,Designer Selection-Penthouse in Mel CBD +Free Wifi,40455436,S&S,,Melbourne,-37.81557,144.95316,Entire home/apt,163,1,83,2022-04-18,1.54,20,311,14,
